Campaign,Ad group,Ad ID,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions,Cost
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,3,21.43%,0%,14,28.57%,64.29%,฿0,0%,0,0,0,฿62.61
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,6,15.79%,0%,38,15.79%,65.79%,฿0,0%,0,0,0,฿126.65
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,7,16.67%,14.29%,42,11.9%,59.52%,฿133.99,14.29%,0,0,1,฿133.99
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,4,14.81%,0%,27,25.93%,74.07%,฿0,0%,0,0,0,฿57.67
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Excellent,71,12.61%,5.63%,563,19.36%,66.43%,฿612.1,5.63%,0,0,4,"฿2,448.41"
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Excellent,30,11.19%,6.67%,268,7.09%,44.4%,฿413.68,6.67%,0,0,2,฿827.36
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Excellent,38,13.1%,5.26%,290,11.03%,54.14%,฿410.8,5.26%,0,0,2,฿821.59
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Excellent,32,10.03%,6.25%,319,7.84%,41.69%,฿292.16,6.25%,0,0,2,฿584.31
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Excellent,22,10.95%,13.64%,201,15.92%,61.19%,฿194.24,13.64%,0,0,3,฿582.71
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Excellent,61,10.74%,0%,568,14.08%,50.7%,฿0,0%,0,0,0,"฿1,560.37"
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Excellent,26,7.24%,0%,359,14.76%,54.32%,฿0,0%,0,0,0,฿476.65
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินตั้งโต๊ะ,675851909024,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Excellent,19,9.69%,10.53%,196,9.69%,45.92%,฿153.44,10.53%,0,0,2,฿306.88
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,721969923577,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,1,50%,0%,2,0%,50%,฿0,0%,0,0,0,฿16.69
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,721969923577,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,1,14.29%,0%,7,28.57%,42.86%,฿0,0%,0,0,0,฿25.16
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,721969923577,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,0,0%,0%,1,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,721969923577,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,กลุ่มโฆษณา สมุดคู่ฝาก,721969923577,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,0,0%,0%,3,0%,0%,฿0,0%,0,0,0,฿0
โรงพิมพ์,กลุ่มโฆษณา โรงพิมพ์,394615399800,"May 13, 2024 to May 19, 2024 (Week 20)",Good,37,5.52%,5.41%,670,25.36%,89.7%,฿389.87,5.41%,0,0,2,฿779.74
โรงพิมพ์,กลุ่มโฆษณา โรงพิมพ์,394615399800,"May 20, 2024 to May 26, 2024 (Week 21)",Good,191,8.3%,4.71%,"2,302",25.09%,82.12%,฿574.52,4.71%,0,0,9,"฿5,170.72"
โรงพิมพ์,กลุ่มโฆษณา โรงพิมพ์,394615399800,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,20,8.85%,5%,226,25.33%,73.78%,฿849.11,5%,0,0,1,฿849.11
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,721963527100,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,0,0%,0%,2,50%,50%,฿0,0%,0,0,0,฿0
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,721963527100,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,3,27.27%,33.33%,11,54.55%,72.73%,฿102.43,33.33%,0,0,1,฿102.43
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,721963527100,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,1,11.11%,0%,9,77.78%,77.78%,฿0,0%,0,0,0,฿23.55
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,721963527100,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,2,12.5%,0%,16,62.5%,75%,฿0,0%,0,0,0,฿35.16
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,721963527100,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,5,31.25%,20%,16,56.25%,68.75%,฿101.41,20%,0,0,1,฿101.41
โรงพิมพ์,กลุ่มโฆษณา ใบOPD,721963527100,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,0,0%,0%,7,14.29%,57.14%,฿0,0%,0,0,0,฿0
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"May 13, 2024 to May 19, 2024 (Week 20)",Excellent,12,6.82%,0%,176,26.14%,82.95%,฿0,0%,0,0,0,฿272.12
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"May 20, 2024 to May 26, 2024 (Week 21)",Excellent,35,7.4%,14.29%,473,24.15%,75.21%,฿157.06,14.29%,0,0,5,฿785.31
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Excellent,26,6.9%,3.85%,377,32.89%,77.19%,฿700.89,3.85%,0,0,1,฿700.89
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Excellent,14,7.18%,7.14%,195,15.38%,61.54%,฿287.45,7.14%,0,0,1,฿287.45
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Excellent,21,6.42%,4.76%,327,23.55%,64.22%,฿501.87,4.76%,0,0,1,฿501.87
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Excellent,46,6.39%,0%,720,14.86%,64.58%,฿0,0%,0,0,0,"฿1,024.67"
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Excellent,17,7.02%,11.76%,242,22.31%,54.96%,฿148.97,11.76%,0,0,2,฿297.93
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Excellent,30,6.45%,3.33%,465,15.95%,61.85%,฿532.51,3.33%,0,0,1,฿532.51
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Excellent,26,7.54%,0%,345,15.99%,56.4%,฿0,0%,0,0,0,฿376.3
โลกตรายาง,กลุ่มโฆษณาตรายางปั้มชื่อ ตำแหนง ลายเซ็น,534042241565,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Excellent,11,5.37%,9.09%,205,10.73%,52.2%,฿182.91,9.09%,0,0,1,฿182.91
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"May 13, 2024 to May 19, 2024 (Week 20)",Good,2,5.71%,0%,35,14.29%,60%,฿0,0%,0,0,0,฿26.62
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"May 20, 2024 to May 26, 2024 (Week 21)",Good,7,6.09%,0%,115,18.26%,69.57%,฿0,0%,0,0,0,฿143.26
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,14,5.93%,0%,236,21.19%,66.95%,฿0,0%,0,0,0,฿320.71
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Good,7,7.87%,0%,89,20.22%,57.3%,฿0,0%,0,0,0,฿118.28
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,9,8.33%,0%,108,24.3%,62.62%,฿0,0%,0,0,0,฿168.75
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,17,7.42%,0%,229,21.05%,65.79%,฿0,0%,0,0,0,฿280.58
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,3,3.26%,0%,92,15.22%,45.65%,฿0,0%,0,0,0,฿37.22
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,34,7.66%,0%,444,22.22%,62.13%,฿0,0%,0,0,0,฿735.19
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,24,8.08%,0%,297,12.12%,50.51%,฿0,0%,0,0,0,฿377.65
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,534183653494,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,11,6.51%,0%,169,13.69%,50%,฿0,0%,0,0,0,฿301.26
กล่อง  #1,กล่อง  #1,258466695093,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,228491207661,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,411425311125,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Excellent,12,11.76%,8.33%,102,11.76%,41.18%,฿108.63,8.33%,0,0,1,฿108.63
กล่อง  #1,กล่อง  #1,258466478637,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,228491207661,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,411425311125,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Excellent,34,8.65%,11.76%,393,7.02%,45.61%,฿53,11.76%,0,0,4,฿211.98
กล่อง  #1,กล่อง  #1,258466695093,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
