Campaign,Ad group,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions
โลกตรายาง,กลุ่มโฆษณาตรายางวันที่,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,11,6.51%,0%,169,13.69%,50%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Excellent,12,11.76%,8.33%,102,11.76%,41.18%,฿108.63,8.33%,0,0,1
กล่อง  #1,กล่อง  #1,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Excellent,34,8.65%,11.76%,393,7.02%,45.61%,฿53,11.76%,0,0,4
กล่อง  #1,กล่อง  #1,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Excellent,28,10.98%,0%,255,0%,38.1%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Excellent,31,12.81%,3.23%,242,6.85%,47.95%,฿305.21,3.23%,0,0,1
กล่อง  #1,กล่อง  #1,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Excellent,81,14.75%,4.94%,549,3.77%,28.3%,฿151.29,4.94%,0,0,4
กล่อง  #1,กล่อง  #1,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Excellent,41,9.79%,4.88%,419,0%,42.86%,฿157.82,4.88%,0,0,2
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
ฉลากสติกเกอร์ Offset,ฉลากสติกเกอร์,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,ปฏิทินแขวน,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,34,13.03%,8.82%,261,22.61%,72.41%,฿352.53,8.82%,0,0,3
โรงพิมพ์,ปฏิทินแขวน,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Good,20,10.53%,10%,190,9.47%,56.32%,฿215.18,10%,0,0,2
โรงพิมพ์,ปฏิทินแขวน,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,39,12.83%,7.69%,304,12.17%,62.83%,฿295.49,7.69%,0,0,3
โรงพิมพ์,ปฏิทินแขวน,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,48,11.88%,10.42%,404,10.89%,60.64%,฿172.47,10.42%,0,0,5
โรงพิมพ์,ปฏิทินแขวน,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,41,17.45%,7.32%,235,22.98%,70.21%,฿271.12,7.32%,0,0,3
โรงพิมพ์,ปฏิทินแขวน,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,97,12.93%,5.15%,750,17.6%,63.47%,฿335.67,5.15%,0,0,5
โรงพิมพ์,ปฏิทินแขวน,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,80,12.84%,8.75%,623,12.52%,59.87%,฿221.72,8.75%,0,0,7
โรงพิมพ์,ปฏิทินแขวน,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,48,10.32%,0%,465,9.25%,56.56%,฿0,0%,0,0,0
โรงพิมพ์,โรงพิมพ์ - กลุ่มโฆษณาแบบไดนามิก,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,โรงพิมพ์ - กลุ่มโฆษณาแบบไดนามิก,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โลกตรายาง,โลกตรายาง - กลุ่มโฆษณาแบบไดนามิก,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
